"DEPARTURES_PERFORMED","PASSENGERS","ORIGIN_CITY_NAME","DEST_CITY_NAME","MONTH",
0.00,0.00,"Seattle, WA","Palm Springs, CA",1,
0.00,0.00,"Palm Springs, CA","Seattle, WA",1,
0.00,0.00,"Ontario, CA","San Jose, CA",11,
1.00,148.00,"Ontario, CA","Las Vegas, NV",10,
1.00,128.00,"Philadelphia, PA","Sacramento, CA",10,
1.00,125.00,"Phoenix, AZ","Sacramento, CA",10,
1.00,107.00,"Phoenix, AZ","Sacramento, CA",10,
1.00,146.00,"San Diego, CA","Charlotte, NC",10,
1.00,160.00,"South Bend, IN","Los Angeles, CA",10,
1.00,153.00,"San Francisco, CA","Los Angeles, CA",10,
1.00,107.00,"Sacramento, CA","Flagstaff, AZ",10,
1.00,135.00,"Sacramento, CA","Philadelphia, PA",10,
1.00,7.00,"Sacramento, CA","Phoenix, AZ",10,
1.00,128.00,"Sacramento, CA","Phoenix, AZ",10,
1.00,14.00,"Albuquerque, NM","Los Angeles, CA",10,
1.00,136.00,"Albuquerque, NM","Santa Ana, CA",10,
1.00,100.00,"Burbank, CA","Albuquerque, NM",10,
1.00,22.00,"Burbank, CA","Las Vegas, NV",10,
1.00,119.00,"Burbank, CA","San Diego, CA",10,
1.00,122.00,"Burbank, CA","Sacramento, CA",10,
1.00,168.00,"Los Angeles, CA","Kahului, HI",4,
1.00,142.00,"Los Angeles, CA","Kahului, HI",4,
1.00,163.00,"Los Angeles, CA","Kahului, HI",4,
1.00,143.00,"Los Angeles, CA","Kahului, HI",4,
1.00,133.00,"Burbank, CA","Ontario, CA",6,
1.00,123.00,"Bullhead City, AZ","Sacramento, CA",3,
1.00,40.00,"Los Angeles, CA","Reno, NV",1,
1.00,245.00,"Phoenix, AZ","Los Angeles, CA",6,
1.00,41.00,"Phoenix, AZ","Los Angeles, CA",6,
1.00,58.00,"Ontario, CA","Phoenix, AZ",2,
1.00,39.00,"Los Angeles, CA","Cleveland, OH",3,
1.00,0.00,"Seattle, WA","San Jose, CA",3,
1.00,0.00,"Klamath Falls, OR","Modesto, CA",3,
1.00,53.00,"Phoenix, AZ","San Francisco, CA",6,
1.00,52.00,"Phoenix, AZ","San Francisco, CA",6,
1.00,0.00,"Long Beach, CA","Burbank, CA",3,
1.00,0.00,"Ontario, CA","San Diego, CA",3,
1.00,55.00,"Ontario, CA","San Diego, CA",3,
1.00,4.00,"Palm Springs, CA","Burbank, CA",3,
1.00,0.00,"Oakland, CA","Honolulu, HI",2,
1.00,123.00,"Albuquerque, NM","Palm Springs, CA",4,
1.00,132.00,"Baltimore, MD","Ontario, CA",10,
1.00,115.00,"Denver, CO","Burbank, CA",10,
1.00,87.00,"Spokane, WA","Oakland, CA",10,
1.00,134.00,"Spokane, WA","Oakland, CA",10,
1.00,74.00,"Houston, TX","Oakland, CA",10,
1.00,114.00,"Houston, TX","Oakland, CA",10,
1.00,94.00,"Houston, TX","San Diego, CA",10,
1.00,111.00,"Las Vegas, NV","Oakland, CA",10,
1.00,113.00,"Las Vegas, NV","San Jose, CA",10,
1.00,136.00,"Los Angeles, CA","Amarillo, TX",10,
1.00,137.00,"Los Angeles, CA","Austin, TX",10,
1.00,121.00,"Los Angeles, CA","Las Vegas, NV",10,
1.00,74.00,"Los Angeles, CA","Chicago, IL",10,
1.00,116.00,"Los Angeles, CA","Sacramento, CA",10,
1.00,80.00,"Kansas City, MO","Los Angeles, CA",10,
1.00,0.00,"Denver, CO","Ontario, CA",5,
1.00,156.00,"Kahului, HI","Los Angeles, CA",5,
1.00,1.00,"San Jose, CA","Burbank, CA",2,
1.00,0.00,"El Paso, TX","Los Angeles, CA",3,
1.00,0.00,"El Paso, TX","Los Angeles, CA",3,
1.00,0.00,"Phoenix, AZ","Los Angeles, CA",6,
1.00,143.00,"Los Angeles, CA","Philadelphia, PA",4,
1.00,182.00,"Los Angeles, CA","Nashville, TN",4,
1.00,105.00,"Fresno, CA","Phoenix, AZ",1,
1.00,3.00,"Fresno, CA","Phoenix, AZ",1,
1.00,105.00,"San Francisco, CA","Dallas/Fort Worth, TX",2,
1.00,106.00,"Las Vegas, NV","Sacramento, CA",6,
1.00,176.00,"Phoenix, AZ","San Francisco, CA",6,
1.00,0.00,"Los Angeles, CA","Ontario, CA",4,
1.00,0.00,"Kahului, HI","Los Angeles, CA",1,
1.00,70.00,"Kahului, HI","Los Angeles, CA",1,
1.00,223.00,"Los Angeles, CA","Detroit, MI",5,
1.00,112.00,"Los Angeles, CA","Detroit, MI",5,
1.00,122.00,"Los Angeles, CA","Washington, DC",5,
1.00,116.00,"San Diego, CA","Milwaukee, WI",6,
1.00,143.00,"Houston, TX","San Francisco, CA",4,
1.00,150.00,"Kansas City, MO","San Diego, CA",4,
1.00,151.00,"Madison, WI","Los Angeles, CA",2,
1.00,0.00,"Seattle, WA","Los Angeles, CA",2,
1.00,0.00,"Los Angeles, CA","Dallas/Fort Worth, TX",1,
1.00,146.00,"Sacramento, CA","Salt Lake City, UT",5,
1.00,69.00,"Sacramento, CA","Salt Lake City, UT",5,
1.00,188.00,"Tampa, FL","San Francisco, CA",3,
1.00,0.00,"Ontario, CA","Dallas/Fort Worth, TX",3,
1.00,0.00,"Ontario, CA","Dallas/Fort Worth, TX",3,
1.00,47.00,"Seattle, WA","Oakland, CA",5,
1.00,1.00,"Burbank, CA","Chicago, IL",1,
1.00,0.00,"Ontario, CA","California City, CA",1,
1.00,143.00,"San Jose, CA","Atlanta, GA",4,
1.00,13.00,"Oakland, CA","Burbank, CA",10,
1.00,115.00,"Oakland, CA","Houston, TX",10,
1.00,95.00,"Oakland, CA","Lewiston, ID",10,
1.00,61.00,"Oakland, CA","Portland, OR",10,
1.00,47.00,"Oakland, CA","Reno, NV",10,
1.00,21.00,"Oakland, CA","San Francisco, CA",10,
1.00,42.00,"Ontario, CA","San Diego, CA",10,
1.00,110.00,"Ontario, CA","San Jose, CA",10,
1.00,90.00,"Portland, OR","Sacramento, CA",10,
1.00,75.00,"Phoenix, AZ","Burbank, CA",10,
1.00,209.00,"San Francisco, CA","Los Angeles, CA",2,
1.00,0.00,"San Francisco, CA","Los Angeles, CA",2,
1.00,37.00,"San Francisco, CA","Jackson, WY",3,
1.00,138.00,"Burbank, CA","Salt Lake City, UT",4,
1.00,116.00,"Salt Lake City, UT","Sacramento, CA",4,
1.00,0.00,"Chico, CA","Arcata/Eureka, CA",1,
1.00,129.00,"Phoenix, AZ","Oakland, CA",4,
1.00,0.00,"Sacramento, CA","Denver, CO",4,
1.00,0.00,"Fairbanks, AK","San Jose, CA",1,
1.00,0.00,"Dallas, TX","Ontario, CA",1,
1.00,42.00,"Denver, CO","San Jose, CA",1,
1.00,47.00,"Phoenix, AZ","San Francisco, CA",1,
1.00,109.00,"Phoenix, AZ","San Francisco, CA",1,
1.00,44.00,"Monterey, CA","Santa Barbara, CA",5,
1.00,21.00,"Los Angeles, CA","San Diego, CA",5,
1.00,58.00,"San Diego, CA","Denver, CO",6,
1.00,57.00,"San Diego, CA","Denver, CO",6,
1.00,158.00,"Sacramento, CA","Chicago, IL",1,
1.00,163.00,"San Francisco, CA","Chicago, IL",5,
1.00,55.00,"San Francisco, CA","Chicago, IL",5,
1.00,12.00,"Las Vegas, NV","Monterey, CA",1,
1.00,0.00,"Santa Barbara, CA","Santa Maria, CA",3,
1.00,153.00,"Salt Lake City, UT","Sacramento, CA",4,
1.00,106.00,"Salt Lake City, UT","Sacramento, CA",4,
1.00,27.00,"Salt Lake City, UT","Sacramento, CA",4,
1.00,108.00,"Bullhead City, AZ","Sacramento, CA",4,
1.00,5.00,"Newport News/Williamsburg, VA","Burbank, CA",4,
1.00,5.00,"Santa Fe, NM","Burbank, CA",4,
1.00,166.00,"San Diego, CA","Cleveland, OH",2,
1.00,128.00,"Sacramento, CA","Reno, NV",2,
1.00,37.00,"Denver, CO","Oakland, CA",2,
1.00,47.00,"Salt Lake City, UT","Palm Springs, CA",2,
1.00,45.00,"Sacramento, CA","Reno, NV",2,
1.00,2.00,"Burbank, CA","Oakland, CA",2,
1.00,3.00,"Burbank, CA","Oakland, CA",2,
1.00,65.00,"Salt Lake City, UT","Oakland, CA",4,
1.00,5.00,"Teterboro, NJ","Santa Barbara, CA",4,
1.00,166.00,"Phoenix, AZ","San Francisco, CA",1,
1.00,114.00,"Phoenix, AZ","San Francisco, CA",1,
1.00,36.00,"Phoenix, AZ","San Francisco, CA",1,
1.00,27.00,"Ontario, CA","Los Angeles, CA",6,
1.00,110.00,"Houston, TX","San Jose, CA",1,
1.00,38.00,"San Francisco, CA","Pueblo, CO",3,
1.00,56.00,"Long Beach, CA","San Francisco, CA",6,
1.00,197.00,"San Francisco, CA","Anchorage, AK",5,
1.00,139.00,"Denver, CO","San Francisco, CA",6,
1.00,48.00,"Sacramento, CA","Montrose/Delta, CO",5,
1.00,1.00,"Teterboro, NJ","San Francisco, CA",3,
1.00,0.00,"Denver, CO","Oakland, CA",2,
1.00,1.00,"Trenton, NJ","San Francisco, CA",2,
1.00,74.00,"Santa Ana, CA","Chicago, IL",2,
1.00,11.00,"San Diego, CA","Portland, OR",3,
1.00,0.00,"San Jose, CA","Sacramento, CA",2,
1.00,42.00,"Los Angeles, CA","Sacramento, CA",1,
1.00,34.00,"Los Angeles, CA","Sacramento, CA",1,
1.00,2.00,"Parker, AZ","Santa Ana, CA",5,
1.00,0.00,"San Luis Obispo, CA","Bakersfield, CA",1,
1.00,41.00,"Newark, NJ","San Diego, CA",4,
1.00,0.00,"Denver, CO","Sacramento, CA",6,
1.00,0.00,"Woodlake, CA","Visalia, CA",1,
1.00,0.00,"Newark, NJ","Burbank, CA",1,
1.00,224.00,"San Francisco, CA","Lihue, HI",2,
1.00,39.00,"Los Angeles, CA","New Orleans, LA",3,
1.00,182.00,"Los Angeles, CA","Baltimore, MD",3,
1.00,41.00,"Seattle, WA","Fresno, CA",5,
1.00,161.00,"New York, NY","San Jose, CA",1,
1.00,0.00,"Fresno, CA","Visalia, CA",2,
1.00,49.00,"Albuquerque, NM","Los Angeles, CA",3,
1.00,0.00,"Seattle, WA","Los Angeles, CA",3,
1.00,0.00,"Albuquerque, NM","Los Angeles, CA",3,
1.00,0.00,"Toledo, OH","San Jose, CA",2,
1.00,117.00,"Oakland, CA","Austin, TX",5,
1.00,126.00,"Los Angeles, CA","Orlando, FL",2,
1.00,131.00,"Los Angeles, CA","Orlando, FL",2,
1.00,120.00,"El Paso, TX","Ontario, CA",6,
1.00,140.00,"San Diego, CA","Denver, CO",2,
1.00,2.00,"Sacramento, CA","Salt Lake City, UT",2,
1.00,32.00,"Sacramento, CA","Salt Lake City, UT",2,
1.00,100.00,"Sacramento, CA","Burbank, CA",2,
1.00,120.00,"Bullhead City, AZ","San Diego, CA",2,
1.00,53.00,"Seattle, WA","Fresno, CA",2,
1.00,20.00,"Sacramento, CA","Salt Lake City, UT",2,
1.00,113.00,"Houston, TX","San Francisco, CA",1,
1.00,148.00,"Seattle, WA","San Francisco, CA",1,
1.00,15.00,"Phoenix, AZ","Ontario, CA",1,
1.00,20.00,"Bakersfield, CA","Bullhead City, AZ",4,
1.00,5.00,"Burbank, CA","Birmingham, AL",4,
1.00,21.00,"Reno, NV","Santa Ana, CA",6,
1.00,0.00,"Ontario, CA","Lexington, KY",5,
1.00,0.00,"Ontario, CA","Dallas, TX",6,
1.00,139.00,"Houston, TX","Los Angeles, CA",5,
1.00,60.00,"Houston, TX","Los Angeles, CA",5,
1.00,0.00,"Yuma, AZ","Oakland, CA",6,
1.00,147.00,"Orlando, FL","Los Angeles, CA",3,
1.00,117.00,"Orlando, FL","Los Angeles, CA",1,
1.00,0.00,"Ontario, CA","El Paso, TX",3,
1.00,68.00,"Oakland, CA","Seattle, WA",3,
1.00,70.00,"Sacramento, CA","Palm Springs, CA",3,
